"gender","n","PSWQ_M","PSWQ_Med","PSWQ_SD","PSWQ_min","PSWQ_max","Proc_M","Proc_Med","Proc_SD","Proc_min","Proc_max"
"Female",32,3.4921875,3.5625,0.700077400674728,1.9375,4.6875,2.95625,3.025,0.681051132560023,1.55,4.2
"Male",24,2.90885416666667,2.875,0.76101047640573,1.1875,4.125,2.86666666666667,2.775,0.56465970257328,1.75,4.25
