"scale","n","cronbach_alpha","mean","median","sd","minimum","maximum"
"PSWQ",56,0.902378324514213,3.2421875,3.34375,0.776708390128145,1.1875,4.6875
"Lay's Procrastination Scale",56,0.832042710291161,2.91785714285714,2.95,0.629893827375879,1.55,4.25
