"anxiety_diagnosis","n","PSWQ_M","PSWQ_Med","PSWQ_SD","PSWQ_min","PSWQ_max","Proc_M","Proc_Med","Proc_SD","Proc_min","Proc_max"
"No",42,3.12202380952381,3.1875,0.773507657997163,1.1875,4.1875,2.93571428571429,3.025,0.631807870059395,1.55,4.2
"Yes",13,3.64423076923077,3.5,0.70173919702481,2.5625,4.6875,2.88076923076923,2.75,0.667875506593626,1.95,4.25
